"","Available.Quantity","dev.EDD","partial.Delivery","price.Rise","discount","partial.Delivery.1","A1","A2","A3","P.A","F.A","intrvls"
"Available.Quantity",1,-0.0459580448346663,-0.110898758680842,0.0991996094031425,0.174063593394741,NA,0.217861636887916,0.204282692645546,0.565156977118093,-0.0993547581012712,-0.0752137426763216,0.991220192558661
"dev.EDD",-0.0459580448346663,1,-0.0280121226033247,-0.025472285445332,-0.0141703238379105,NA,-0.0064838544769936,-0.0045659487344526,-0.0114207241163602,-0.0281775987891833,0.0148350480861157,-0.0381884363714878
"partial.Delivery",-0.110898758680842,-0.0280121226033247,1,-0.280538221002656,-0.156064419466822,NA,-0.0714097289824941,-0.0502869339267473,-0.125781788722572,0.0631375747725289,0.0943961353804955,-0.124816019343235
"price.Rise",0.0991996094031425,-0.025472285445332,-0.280538221002656,1,-0.141914181114112,NA,-0.0649350649350649,-0.0457274571188914,-0.114377252717919,0.000768992816803939,-0.0424938046165005,0.105025910983489
"discount",0.174063593394741,-0.0141703238379105,-0.156064419466822,-0.141914181114112,1,NA,-0.0361236097381376,-0.0254383485553159,-0.0636284762975778,0.0381351054876555,-0.0541281734231112,0.194019382495618
"partial.Delivery.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"A1",0.217861636887916,-0.0064838544769936,-0.0714097289824941,-0.0649350649350649,-0.0361236097381376,NA,1,-0.011639716357536,-0.0291142097827431,-0.0485094009165689,-0.0780351325725284,0.212862120785748
"A2",0.204282692645546,-0.0045659487344526,-0.0502869339267473,-0.0457274571188914,-0.0254383485553159,NA,-0.011639716357536,1,-0.0205023092026182,0.15833000743564,0.00546058580876762,0.193588791230843
"A3",0.565156977118093,-0.0114207241163602,-0.125781788722572,-0.114377252717919,-0.0636284762975778,NA,-0.0291142097827431,-0.0205023092026182,1,-0.205407869385639,-0.0159710075598801,0.593502807877079
"P.A",-0.0993547581012712,-0.0281775987891833,0.0631375747725289,0.000768992816803939,0.0381351054876555,NA,-0.0485094009165689,0.15833000743564,-0.205407869385639,1,-0.0326255842057445,-0.124858500657013
"F.A",-0.0752137426763216,0.0148350480861157,0.0943961353804955,-0.0424938046165005,-0.0541281734231112,NA,-0.0780351325725284,0.00546058580876762,-0.0159710075598801,-0.0326255842057445,1,-0.0730645113363045
"intrvls",0.991220192558661,-0.0381884363714878,-0.124816019343235,0.105025910983489,0.194019382495618,NA,0.212862120785748,0.193588791230843,0.593502807877079,-0.124858500657013,-0.0730645113363045,1
